Shot,Platform,Duration,Hook,Scene,Required Asset,Caption CTA,Production Status
1,TikTok,12s,This fur was hiding in the brush.,One slow brush pass then dust cup close-up,Sample unit plus shedding dog,Join first batch,blocked by sample
2,Reels,15s,Do not turn it on next to a nervous pet.,Quiet-start distance demo with treats,Sample unit plus calm pet,Save the quiet-start guide,placeholder video ready
3,Shorts,20s,Everything in a grooming vacuum kit.,"Flatlay of hose, brushes, clipper guards, filter",Real kit or AI flatlay,See the full kit,partially ready
4,TikTok,10s,Brush only vs vacuum kit.,Split frame loose fur pile vs collected fur cup,Sample unit and brush,Read the comparison guide,blocked by sample
5,Reels,18s,"Small apartment, big shedding problem.",Sofa/rug before-after reset,Living room scene,Read apartment pet hair guide,placeholder video ready
6,TikTok,12s,Husky homes know this pile.,Undercoat brush pass and fur cup reveal,Husky or double-coat dog,Read husky guide,blocked by sample
7,Shorts,25s,What each attachment is for.,One close-up per attachment,Kit flatlay,View FurQuiet kit,partially ready
8,TikTok,10s,"For cats, speed is the wrong goal.","Tool off sniff, treat, short brush touch",Long-hair cat and sample,Read cat guide,blocked by sample
9,Reels,14s,The dust cup is the review.,"No talking, just visible collected fur",Dust cup close-up,Join first batch,placeholder video ready
10,X,NA,Claims we will not make about FurQuiet.,Screenshot-style claim boundaries,Docs screenshots,Read the FAQ,ready
11,TikTok,20s,Can this replace a groomer? No.,Owner explains between-visit maintenance,Founder talking head,Read the FAQ,ready
12,Shorts,18s,How to empty the fur cup.,"Empty cup, clean brush head, replace filter",Sample unit,View care guide,blocked by sample
